code,ïüóòå˙ê∂îÔ
3659,14403
4839,6150
3433,2273
9719,25837
4527,12114
2445,2871
7873,3387
7532,59239
3385,5832
7731,58237
6440,7599
6703,35104
9005,86833
5947,25640
9974,15010
6293,2841
6938,728
4097,5873
6810,10428
2930,208
4528,18882
5110,58366
2206,27232
4768,49569
3688,1605
7775,646
7925,1689
3401,56924
3569,8292
7702,4262
4021,13814
4549,2549
6316,2628
4548,2263
3648,1429
4005,149172
6291,676
4186,6769
3153,5749
9684,19473
9536,12712
6328,2099
6675,3052
7721,3123
2590,12904
7988,19514
6592,10578
9946,14769
5186,4824
3302,1877
6371,14862
1909,2311
9716,8628
9729,7792
2372,363
6355,3565
3657,1455
8285,4955
8260,5896
5013,2190
3852,720
5108,246347
3199,6842
3501,7186
9831,115053
7914,6952
9375,34849
4326,3522
8095,4044
8291,10963
1972,2601
8518,342
7480,2863
5363,1430
7971,6675
6737,5701
2899,5867
4282,3821
3092,5534
3371,994
6806,8319
8130,9797
6309,2825
6323,1780
5909,5795
9613,124523
2503,149128
8203,7774
6029,233
6028,6472
7419,30933
5367,638
6332,4993
3173,1490
3004,3296
3916,665
6474,15048
7740,4261
6513,2225
5192,4711
3627,375
7599,17816
9830,12534
6364,2366
5334,26214
5195,6210
9697,6117
3232,7206
4658,3025
6205,1657
1964,2182
4320,569
2802,76359
8519,2631
6517,3415
8850,12629
4613,23035
3022,3597
4709,1502
2151,1949
9997,10172
7913,3741
9535,4863
1924,24955
6294,909
8031,302270
8282,45460
8923,3440
7961,895
8173,25810
7593,11677
4344,643
8088,40339
9470,6794
7817,5020
2502,117039
9081,7897
3201,6898
3349,30528
7504,5359
5142,5919
3778,946
9989,35804
7769,2258
3636,5865
3202,317
6755,17465
8077,1292
5988,4309
6444,19722
2215,1789
7832,41533
6986,4296
6815,876
8086,24036
6013,7770
2819,3428
7943,7885
6383,21396
4979,862
6165,2439
5809,3268
4825,963
7874,2448
7743,1619
7862,17034
4980,4133
9972,909
7442,3162
3392,2277
7822,4371
1606,1010
8036,42211
3231,37300
9021,94354
6962,2024
6485,1566
6349,5646
3826,207
4779,503
3632,4550
2207,1440
6826,1119
7956,6153
4634,17439
5951,1184
4955,928
4206,9808
5358,941
9763,1396
8058,413845
7916,1119
6103,10463
5015,823
5344,2068
6471,60953
4041,8254
4248,821
6498,7310
3593,2360
5218,1361
6908,2394
4746,803
7463,1247
9428,2207
5101,37799
6773,24515
6406,10609
6368,5126
3109,2708
6911,3086
6676,4707
2269,78440
6644,5426
6070,1162
4064,3115
5602,6393
5957,1653
3524,1128
6640,2880
7245,5321
8848,32469
2501,33765
6915,3524
5105,23757
2475,2034
7619,1792
8125,3844
6486,8732
8877,2434
3662,1421
3421,1959
2183,516
2491,1081
7898,4097
3837,716
6641,7803
7272,92390
4245,2014
4762,248
2922,2660
4633,9267
6395,11000
4924,2411
4410,4355
2309,3782
5803,39814
4112,2110
2001,18999
4538,2838
9413,8649
9405,4985
6302,40788
6298,1779
6706,2409
4725,3169
6954,32371
4676,39424
6490,1641
7911,86186
6274,989
9041,72428
9401,21333
6674,21943
6250,6718
1878,89810
7447,988
3086,65971
6284,1514
6505,2357
6489,1706
7105,16031
6715,1111
6093,158
6481,16128
9739,1807
7594,2811
3771,679
7942,6416
6118,3973
8093,3502
2429,5535
2154,1767
3666,349
9991,5782
5185,4134
6741,4805
6210,1618
9743,4125
5821,1425
7628,2185
6222,3621
9692,2545
9744,5197
3551,2312
2282,69318
3694,191
4674,1658
4996,3603
4631,43242
1420,3189
6507,4838
1973,14814
6134,4962
1925,201510
2531,12921
8096,3664
4088,38064
3132,22523
6973,3007
6462,4274
3154,8913
3105,29579
4714,1165
6742,3360
5310,1815
6855,698
5959,3529
6770,41952
3676,859
9052,2666
2772,4085
4615,1190
6927,950
6651,5911
6373,2415
8059,8537
3104,2261
4626,2647
2229,13958
8244,14733
7605,1605
3918,470
9046,1278
7476,3088
9715,13351
8935,2858
7970,4066
5974,692
4620,3445
9468,11285
1376,3180
9706,11214
6203,1011
7438,2753
5471,24282
3002,7436
6976,12554
7483,5818
6183,5913
6262,1029
4078,4542
6420,4334
5992,4397
3630,1631
4517,568
6455,4549
5011,2909
1662,11040
2201,10618
2002,28290
4826,993
6460,19475
9534,4619
4284,705
7912,74667
5288,3922
4679,600
9672,1043
8999,2308
6378,909
7004,20941
7011,204834
6937,2895
4728,255
5491,2296
6750,4267
2288,12118
9658,1199
9533,20336
3696,194
4555,6894
9368,2445
9793,2301
1929,2974
4403,9042
6050,198
3160,2791
3843,1825
7309,16673
7226,5476
4368,1856
9543,5551
7860,8249
5262,1636
8087,4798
9201,65602
4977,1860
4228,5207
7527,179
3110,4210
7481,4623
8052,4489
8159,8087
7905,8517
1518,2672
4687,1054
5269,1719
2533,3982
7864,7118
6963,17636
6430,2036
4044,11424
4661,23843
7164,1788
3101,16397
2220,4887
6247,1245
1911,55389
3543,1196
3183,2863
6197,3242
6089,3002
3250,939
9006,15321
9101,95112
5801,41691
6218,1030
3756,1090
6472,33665
1982,3854
1928,99630
8154,11160
9717,795
5802,137673
7820,869
3079,1717
2760,6409
4062,12931
9322,1076
3405,23482
3388,2914
8084,10601
4641,1293
5612,665
6335,634
8089,11852
6121,1113
4992,1924
5393,8649
7433,6109
6877,2392
7466,1804
5333,19096
6871,1236
1944,22423
8904,1640
8439,46110
2931,524
4636,2266
3834,415
6839,6290
5986,1255
6817,3807
2418,2599
4745,840
7974,22917
3176,2807
4182,26022
5721,61
4526,4069
4951,2144
6617,5027
6315,1288
7510,3320
4033,787
6470,5065
3950,4145
4362,1168
1663,2619
4185,18059
6417,3765
5233,36886
7839,653
4461,2413
8928,3586
1939,3228
7729,3580
9022,80698
8129,56503
3408,1164
8081,5637
3038,10965
7215,3826
4333,559
7915,5295
6996,4587
9934,11028
4956,5542
1813,3059
6816,11265
7856,1022
2317,1939
4531,472
5476,1649
6317,2515
2729,6483
5976,1963
7947,7818
1961,7616
6461,2354
7607,2073
3258,1751
8137,5244
7513,10172
7260,5068
4212,3042
6201,100775
5715,6708
9902,4639
4045,6049
4751,13853
7013,66247
9107,45890
8944,205
9119,3694
2003,2164
9532,52304
7487,1710
5805,6844
2384,6571
6902,198757
4994,1048
2462,1394
9008,18341
6369,1835
4732,2934
5391,1714
3521,78
5981,2833
2327,10133
1946,8621
9466,330
4290,1284
6345,2726
3166,3956
6875,2930
2908,2643
7552,7540
6331,1563
9380,1644
4099,2138
3656,847
9048,25898
6997,5018
3023,1291
3577,681
3817,1683
9616,5839
4726,2157
9681,3769
4968,3323
3626,16884
5122,3705
3946,6505
4404,1958
4718,881
3724,449
3204,805
6800,1872
8005,2499
9731,2077
8007,3592
6916,1904
3738,23345
4100,1180
7885,924
5204,3004
6087,311
1956,3061
9856,3328
5658,1107
4028,4269
7725,213
1435,1587
9759,2302
1926,4264
1833,8444
6101,1704
2915,2935
1976,2139
4118,22615
3048,32123
7224,8275
3103,5190
7420,4643
4025,1330
9409,12122
8835,1298
8869,2175
5273,2664
3434,2085
4541,6669
5703,18290
8934,1643
3822,632
1515,4361
7202,79358
1979,8150
4116,6382
3553,1896
6905,910
9031,14608
9045,12238
3941,22034
3903,1044
2264,23811
7271,1364
9671,844
6258,3218
3064,2769
2809,21951
3465,2037
5631,8427
5301,3512
5912,2034
5232,9267
9632,801
5726,1544
7278,10486
4031,1523
3635,1459
4973,324
3454,575
7022,2087
6794,6325
4187,926
9896,13316
3580,1404
1762,8375
8806,1540
1914,820
8051,17426
7966,8011
6958,2930
4205,11169
3179,966
4619,1843
2871,20705
9551,4284
9067,1807
7274,9948
9995,2973
9704,305
9987,81385
9104,57528
8037,16162
2897,18918
1332,24261
6966,2487
2157,1943
6923,14720
4231,1532
5923,588
8803,1576
5482,8034
3864,7623
4471,5655
7240,26835
3151,21835
9364,9218
1384,587
7277,1744
9351,1179
3861,53731
7247,3537
8871,1336
5727,1164
1941,5516
9757,612
4912,14721
9702,498
8091,4231
3863,36784
8133,38112
7844,1086
6807,7741
2009,804
2108,2137
5210,2522
6479,23345
2884,593
8876,7473
2812,554
4238,254
6584,4856
4202,15960
7251,11795
2678,11379
3878,1169
9682,2882
6730,289
7214,2357
7739,3004
5985,1366
7211,68542
6630,717
3402,72723
9076,20283
1950,6145
5352,3858
3106,5725
7261,113625
4183,42837
2109,3639
4809,423
7570,4326
1934,7940
8131,7223
4299,438
5989,6403
9074,1082
2305,1352
4401,7791
8251,9345
9324,1416
1860,14712
1882,3472
1884,4666
8881,3043
7012,52683
8804,8819
7284,658
8012,24881
1870,3072
9414,351
1514,431
8020,37782
7201,402202
5208,1276
7427,2661
9302,7710
9303,5642
1980,4274
9024,17466
1712,490
4043,10154
5351,3516
6463,5919
6217,1308
8141,3777
8132,7316
4061,12156
7958,2531
5411,110375
5632,3458
8113,23621
1930,1424
9531,52389
7467,3355
3844,458
5991,20653
9115,1228
9404,13677
1969,8540
7102,3317
8841,716
3654,944
7231,6816
1968,2603
6728,6273
1780,666
1867,1464
3526,1634
2004,7567
4042,24108
2597,284
6995,14855
3765,3638
5901,25137
2270,18948
8070,2738
7459,98450
7917,3153
5711,41691
4092,1068
1417,8999
8905,8568
8830,29316
4775,3872
4275,1510
6473,41571
4963,767
9062,58713
1871,3045
5807,512
6340,2623
3443,3245
9014,668
6901,855
9070,3911
4008,3079
2169,259
8101,4398
4406,807
5603,611
5851,7430
4221,2657
3880,14689
4022,716
7205,51764
6929,600
2607,8973
1952,3103
7296,4813
3284,1609
8068,2999
3186,2657
2883,825
1414,1592
1726,738
8035,24210
5302,690
8074,13431
7014,4118
1808,23078
9612,1043
9310,2725
4004,19997
7283,6061
1921,818
4708,2857
5480,3352
8061,4466
3639,332
7236,3183
1865,4119
7305,1073
1975,2351
2461,1100
9627,7271
8793,6321
2107,421
5915,1068
2733,20621
9304,1693
2784,74307
7259,103637
9760,178
8593,24277
7637,1001
4229,732
7294,4834
3254,2911
2286,1300
1379,1804
7838,1386
1333,24871
2715,5777
6844,2637
4208,17503
4220,2505
2266,1336
8032,13905
6785,652
5706,12301
3116,38236
7312,18578
4046,2619
9787,8254
8860,2779
2918,5990
8150,4686
1815,4606
6428,359
5481,3851
2398,2020
7517,6325
8140,6006
8015,217817
8840,8944
7238,7287
7408,2240
8818,393
9072,4896
9110,3416
3896,444
5451,4195
8940,1058
7003,19850
5445,1181
4337,4143
5464,1058
3360,11065
6804,4060
3289,21851
5406,45816
6412,5021
8424,13662
8801,45715
1899,4632
9301,5581
6985,4107
1898,1975
9308,476
1824,11239
8917,1108
8864,574
7246,4939
3431,960
5741,15006
7122,1203
5852,3600
1951,7866
7244,2970
9726,10324
5563,1524
5659,823
3458,874
1721,8602
2292,7208
4027,980
1896,2593
3321,864
1945,1878
9202,44962
5401,117953
9009,6246
7282,19179
2428,267
2174,470
6390,1906
7537,7055
9412,4866
4343,1641
1885,4214
7266,2779
7456,4106
1835,3282
7250,2600
9628,468
6208,243
9506,48527
4114,7293
9025,6399
8933,4666
1959,8450
2117,1234
5357,542
9513,18138
1605,21202
1820,7643
1888,1992
1827,2821
6077,146
6065,108
7269,75952
2904,834
1719,9701
1983,5372
1866,1679
3003,5098
4098,149
2815,1150
1916,1882
2374,872
2112,640
8897,2422
7212,4625
7613,4963
2613,4203
2749,529
5214,5552
2602,7513
7280,7566
8041,7382
2875,8777
3571,276
2768,85000
5714,9293
1811,2507
9722,1553
8090,2748
4047,1035
1942,10541
3436,4727
8038,2655
3291,27417
1810,1983
5408,2746
8103,2975
8892,758
1949,3017
5453,2655
6055,489
6330,9431
8802,24549
1883,5079
2281,7835
3107,13305
9419,263
8043,6743
9622,1057
4668,399
7256,5082
8097,13982
5009,1007
9042,15683
9957,3082
8065,3802
1890,3223
1881,8312
4801,1112
5911,2389
2335,271
7220,3774
4063,25762
8283,19191
1826,606
6967,2898
1805,2427
8014,5513
7276,17085
1801,29952
3299,1155
5949,6410
1301,4704
7270,65953
9069,9011
5902,2409
1802,36827
3280,270
9514,120
5413,10250
2060,4053
8158,1800
9065,9892
6319,333
5463,2630
6432,1586
8425,8168
2337,2075
3341,4234
1812,34438
6619,171
1821,7566
9130,245
1852,2478
1861,6423
3865,4875
7241,7661
3667,92
3036,3704
5410,1789
3271,464
3244,940
1720,5312
7239,5048
9044,3960
1937,897
8920,376
3708,1368
9090,1176
7717,790
2924,248
4577,630
5975,2809
5449,1068
3228,1248
8098,9970
1803,26601
6269,3903
4678,185
3245,180
1352,1238
9810,30156
2796,792
8566,4741
3034,2133
5713,12723
2599,244
5019,51289
1967,680
6379,1619
9064,23153
3445,139
4662,280
7414,2765
1814,1007
4109,465
5970,3205
5020,125694
1879,1341
9068,1604
9795,155
3156,4315
9675,540
1822,2124
9306,382
1847,1197
7591,1422
5444,2019
2378,623
5707,1566
6059,340
1768,195
9075,3405
6080,50
7451,32051
8155,745
9869,12551
3276,512
1430,209
6615,1429
4189,1018
3877,1188
9369,1896
4246,1924
5002,21221
2053,2053
7897,137
9010,605
9305,594
4301,594
3315,1041
6366,7054
5440,1668
2874,1692
3668,939
9099,1136
3288,2680
3678,168
1893,5208
8078,15438
9312,425
2692,6330
9517,310
1963,6704
6740,8422
8918,41
8075,7209
5021,20689
9319,217
4767,127
3252,218
4680,642
5423,882
2737,978
9058,780
3912,12
5702,867
9037,562
2612,156
7222,2916
5017,893
6620,2
3687,5
3661,4
9769,4
2127,6
2296,0
3178,0
3591,0
3673,0
3774,0
4023,0
4091,0
4188,0
4217,0
4508,0
4519,0
4568,0
4578,0
4587,0
4689,0
4901,0
4902,0
5191,0
5201,0
5202,0
5486,0
5541,0
5857,0
6178,0
6236,0
6301,0
6305,0
6326,0
6448,0
6464,0
6501,0
6502,0
6503,0
6581,0
6586,0
6594,0
6645,0
6701,0
6702,0
6752,0
6756,0
6758,0
6762,0
6796,0
6803,0
6869,0
6981,0
7203,0
7230,0
7242,0
7267,0
7313,0
7616,0
7751,0
8002,0
9086,0
9432,0
9433,0
9435,0
9437,0
9501,0
9502,0
9503,0
9504,0
9505,0
9507,0
9508,0
9509,0
9511,0
9766,0
9984,0
